CensusId,TotalPop,IncomePerCap
01001,55221,24974
01003,195121,27317
01005,26932,16824
01007,22604,18431
01009,57710,20532
01011,10678,17580
01013,20354,18390
01015,116648,21374
01017,34079,21071
01019,26008,21811
01021,43819,21399
01023,13395,20755
01025,25070,20064
01027,13537,18905
01029,15002,20151
01031,50884,24936
01033,54444,22546
01035,12865,15968
01037,11027,17519
01039,37886,20977
01041,13938,20585
01043,80965,20881
01045,49866,22566
01047,42154,17808
01049,71068,18411
01051,80763,24381
01053,37935,17045
01055,103766,20500
01057,16896,19545
01059,31634,18595
01061,26815,20224
01063,8697,13611
01065,15256,18877
01067,17252,22931
01069,103534,23925
01071,52860,20066
01073,659026,27240
01075,14133,20130
01077,92737,24215
01079,33586,21369
01081,150982,24356
01083,88805,25569
01085,10742,18429
01087,20018,17374
01089,346438,32131
01091,20306,21471
01093,30387,20042
01095,94318,21363
01097,414251,22953
01099,22217,15863
01101,228138,25138
01103,119786,24449
01105,10038,14804
01107,19856,17957
01109,33155,19415
01111,22648,19363
01113,58302,19882
01115,85864,24168
01117,203530,33494
01119,13341,12887
01121,81437,19598
01123,41153,21177
01125,200458,23124
01127,65923,20166
01129,16997,19743
01131,11235,14170
01133,24130,18808
02013,3304,28608
02016,5684,31754
02020,299107,36920
02050,17776,17746
02060,970,38267
02068,2060,35315
02070,4979,22257
02090,99705,33244
02100,2560,33902
02105,2128,30943
02110,32531,39979
02122,57221,31537
02130,13699,32021
02150,13973,30657
02158,7914,11569
02164,1474,23041
02170,96178,29913
02180,9854,19804
02185,9667,51085
02188,7732,21101
02195,3221,34884
02198,6376,25205
02220,8943,33890
02230,999,38696
02240,7029,30079
02261,9617,33293
02275,2387,30089
02282,643,33159
02290,5644,20698
04001,72124,13011
04003,129647,23506
04005,136701,24308
04007,53165,20583
04009,37407,17481
04011,9023,21994
04012,20335,20439
04013,4018143,27832
04015,203362,20974
04017,107656,16486
04019,998537,25729
04021,389772,21130
04023,47073,17795
04025,215996,25418
04027,202987,19102
05001,18731,22473
05003,21229,19891
05005,41040,22475
05007,238198,27934
05009,37227,21946
05011,11206,20252
05013,5245,20537
05015,27635,20195
05017,11353,19053
05019,22751,19555
05021,15400,19166
05023,25711,24912
05025,8510,21905
05027,24327,20045
05029,21110,21897
05031,101409,23091
05033,61748,20849
05035,49765,19682
05037,17467,19543
05039,7868,17868
05041,12379,17788
05043,18740,17481
05045,119343,24603
05047,17866,19550
05049,12224,19163
05051,96954,24070
05053,18054,23686
05055,43382,20689
05057,22336,17049
05059,33316,18956
05061,13555,21273
05063,36952,20242
05065,13480,18995
05067,17597,17797
05069,73548,19885
05071,25930,19341
05073,7270,20904
05075,17029,17312
05077,9966,14298
05079,14062,14377
05081,12720,19858
05083,22001,20011
05085,70691,23555
05087,15702,20693
05089,16458,17779
05091,43652,21104
05093,44864,19073
05095,7713,17470
05097,9197,19975
05099,8793,17277
05101,8052,18038
05103,25044,19810
05105,10300,22328
05107,20391,16700
05109,11087,19294
05111,24210,17202
05113,20364,19004
05115,62830,20047
05117,8402,19329
05119,390463,27708
05121,17695,19011
05123,27345,15971
05125,113833,26050
05127,10870,17833
05129,7965,18533
05131,127273,23182
05133,17268,17371
05135,17055,16848
05137,12512,18944
05139,40633,21779
05141,17002,19047
05143,216432,24638
05145,78660,22547
05147,6983,18377
05149,21835,18288
06001,1584983,37285
06003,1131,21415
06005,36995,27473
06007,222564,24259
06009,44767,29553
06011,21396,21897
06013,1096068,39313
06015,27788,19560
06017,182093,35588
06019,956749,20408
06021,28029,21313
06023,135034,23367
06025,178206,16143
06027,18373,27850
06029,865736,20644
06031,150998,18707
06033,64158,21407
06035,32645,19274
06037,10038388,28337
06039,153187,17970
06041,258349,60236
06043,17789,28316
06045,87544,24059
06047,263885,18204
06049,9184,21001
06051,14146,29437
06053,428441,24994
06055,140295,36475
06057,98570,32442
06059,3116069,34817
06061,366280,36022
06063,18966,30842
06065,2298032,23783
06067,1465832,27315
06069,57557,27239
06071,2094769,21352
06073,3223096,31266
06075,840763,52220
06077,708554,22645
06079,276517,31060
06081,748731,48278
06083,435850,30589
06085,1868149,43880
06087,269278,33241
06089,178942,24107
06091,3021,29986
06093,43895,22561
06095,425753,29185
06097,495078,34235
06099,527367,21922
06101,95247,23689
06103,63152,21263
06105,13373,22975
06107,454033,17876
06109,54079,27054
06111,840833,33435
06113,207320,28116
06115,73437,20471
08001,471206,25039
08003,16269,19524
08005,608310,34190
08007,12174,28884
08009,3701,21361
08011,5895,13544
08013,310032,39074
08014,60699,40135
08015,18309,28064
08017,2002,23553
08019,9136,42812
08021,8249,18844
08023,3581,21809
08025,5551,10742
08027,4303,22661
08029,30214,24417
08031,649654,35218
08033,1862,20199
08035,306974,45500
08037,52576,38193
08039,23855,38021
08041,655024,29659
08043,46809,18619
08045,57076,27574
08047,5605,38361
08049,14411,31432
08051,15651,25584
08053,874,33816
08055,6502,23467
08057,1335,27938
08059,552344,37065
08061,1463,22731
08063,7980,21769
08065,7362,24399
08067,53182,31822
08069,318227,31304
08071,14503,22935
08073,5478,15203
08075,21928,23916
08077,147834,26569
08079,733,32271
08081,13117,24624
08083,25700,23470
08085,40815,23144
08087,28359,22101
08089,18572,19228
08091,4580,33392
08093,16189,31734
08095,4371,24967
08097,17420,55519
08099,12235,20087
08101,161519,22191
08103,6712,27274
08105,11745,22269
08107,23606,36472
08109,6238,21711
08111,606,23143
08113,7676,40149
08115,2365,22857
08117,28940,35753
08119,23340,32707
08121,4795,24817
08123,270948,26751
08125,10185,23246
09001,939983,50137
09003,896943,35611
09005,186304,38530
09007,165165,41277
09009,862224,32852
09011,273185,34208
09013,151948,35446
09015,117470,28140
10001,169509,25404
10003,549643,32894
10005,207302,28558
11001,647484,47675
12001,254218,25498
12003,27135,20471
12005,175353,25246
12007,27223,19739
12009,553591,27571
12011,1843152,28381
12013,14615,16536
12015,165783,26984
12017,139654,23979
12019,197417,26464
12021,341091,38297
12023,67806,20563
12027,34957,16441
12029,16091,17850
12031,890673,26543
12033,306327,24161
12035,100783,24360
12037,11628,20868
12039,46424,17834
12041,16992,21436
12043,13272,17879
12045,15785,19631
12047,14395,14742
12049,27468,16298
12051,38363,16980
12053,174809,21586
12055,98328,21117
12057,1302884,27764
12059,19635,16468
12061,142866,31882
12063,48900,17196
12065,14198,21080
12067,8801,19404
12069,310561,24236
12071,663675,28010
12073,282940,26522
12075,39821,20299
12077,8295,16972
12079,18729,16274
12081,343729,27958
12083,336811,21675
12085,151586,34742
12086,2639042,23850
12087,75901,36208
12089,75880,28670
12091,192237,28902
12093,39255,16931
12095,1229039,25411
12097,300870,19165
12099,1378806,33650
12101,479288,24455
12103,931477,30170
12105,626676,21196
12107,72696,18082
12109,210495,37581
12111,288006,23657
12113,161021,27892
12115,392038,34479
12117,437346,29162
12119,108501,30145
12121,43595,18573
12123,22685,15811
12125,15191,12291
12127,503719,24026
12129,31128,20823
12131,59487,27393
12133,24629,18164
13001,18417,19178
13003,8294,17022
13005,11222,18349
13007,3292,20959
13009,45795,18611
13011,18336,19211
13013,72012,21411
13015,101336,22592
13017,17477,15316
13019,19019,16523
13021,154816,21591
13023,12746,19503
13025,18452,17276
13027,15637,19744
13029,33151,26934
13031,72386,18719
13033,23007,17546
13035,23445,19433
13037,6489,14242
13039,51445,23856
13043,11031,16897
13045,112595,21320
13047,65375,22642
13049,13130,18036
13051,279290,25690
13053,11914,19487
13055,25241,16333
13057,225944,30595
13059,120905,19276
13061,3104,12790
13063,267234,18107
13065,6791,17127
13067,719133,33778
13069,43003,17540
13071,46024,17353
13073,136204,30603
13075,17033,18790
13077,133416,28106
13079,12539,20904
13081,23314,19439
13083,16445,21547
13085,22673,28832
13087,27378,18310
13089,716331,29486
13091,21180,17887
13093,14293,14295
13095,93310,18999
13097,136520,23158
13099,10579,18116
13101,4048,16954
13103,54630,25123
13105,19537,19841
13107,22731,17096
13109,10814,19625
13111,23742,20534
13113,108655,36362
13115,96169,21218
13117,196236,35696
13119,22110,17743
13121,983903,37926
13123,28673,21766
13125,3087,18921
13127,81743,26541
13129,55889,19707
13131,25243,16953
13133,16331,28209
13135,859234,25831
13137,43527,19026
13139,187916,24292
13141,8881,12358
13143,28565,20740
13145,32776,30386
13147,25498,20733
13149,11617,19222
13151,211512,24996
13153,147570,24368
13155,9408,17576
13157,61420,23504
13159,13593,20570
13161,14990,18446
13163,16374,16048
13165,8922,17366
13167,9794,16954
13169,28738,26005
13171,18114,19217
13173,10403,16688
13175,47886,19194
13177,28946,27999
13179,64427,19785
13181,7720,22373
13183,16588,18166
13185,113203,19173
13187,30921,21963
13189,21582,19065
13191,14007,23887
13193,14045,13431
13195,28232,20857
13197,8739,19077
13199,21297,18059
13201,5936,18904
13205,22982,15297
13207,26915,25539
13209,8968,17402
13211,17900,24435
13213,39401,17043
13215,200285,23318
13217,102645,21717
13219,34400,33528
13221,14688,21848
13223,147400,24930
13225,27086,20689
13227,29740,27720
13229,18934,21619
13231,17812,23150
13233,41215,20293
13235,11590,17656
13237,21247,25864
13239,2326,17334
13241,16266,22869
13243,7315,26031
13245,201291,20659
13247,86901,22614
13249,5074,19858
13251,14206,18597
13253,8769,19891
13255,63873,19588
13257,25620,20001
13259,5868,13721
13261,31429,17404
13263,6490,18971
13265,1721,14805
13267,25302,14957
13269,8401,16857
13271,16416,12155
13273,9213,16242
13275,44824,20471
13277,40787,20078
13279,27210,19564
13281,10800,19978
13283,6762,21127
13285,68867,21559
13287,8338,18227
13289,8509,17768
13291,21725,21872
13293,26528,19069
13295,68285,21430
13297,86201,23625
13299,35723,18100
13301,5561,18174
13303,20785,18285
13305,30046,18291
13307,2720,18767
13309,7956,8292
13311,27791,21718
13313,103456,20353
13315,8972,13521
13317,9991,18392
13319,9386,18037
13321,21156,18762
15001,191482,24548
15003,984178,31041
15005,85,46769
15007,69691,27441
15009,160863,29664
16001,417501,28851
16003,3880,21219
16005,83604,21598
16007,5939,22959
16009,9088,20937
16011,45407,20164
16013,21309,34208
16015,6885,27276
16017,41066,23981
16019,107788,23926
16021,10961,20795
16023,2653,21982
16025,1052,24588
16027,198921,17915
16029,6808,25172
16031,23369,18227
16033,901,15151
16035,8560,20079
16037,4234,22861
16039,26175,21326
16041,12914,18855
16043,12945,20302
16045,16731,19726
16047,15233,19688
16049,16312,19611
16051,26792,19501
16053,22653,17708
16055,145046,25744
16057,38339,22766
16059,7790,22134
16061,3812,21152
16063,5260,17204
16065,37916,14653
16067,20279,20674
16069,39779,25177
16071,4245,20089
16073,11364,16854
16075,22700,20689
16077,7731,18877
16079,12571,21254
16081,10285,24118
16083,80004,21553
16085,9720,23962
16087,10025,18343
17001,67081,24380
17003,7364,14729
17005,17313,22867
17007,53851,26170
17009,6859,21065
17011,34115,27304
17013,4999,26407
17015,14926,26493
17017,13254,24262
17019,205766,26078
17021,34200,23263
17023,16159,25744
17025,13582,22797
17027,37929,28839
17029,53037,23525
17031,5236393,31013
17033,19541,26351
17035,10943,22596
17037,104345,24025
17039,16388,29100
17041,19826,25455
17043,930412,39336
17045,17992,25389
17047,6649,22885
17049,34332,26775
17051,22136,21472
17053,13835,26010
17055,39694,21625
17057,36323,22651
17059,5385,22125
17061,13502,22105
17063,50277,29622
17065,8322,24110
17067,18738,25085
17069,4228,21415
17071,7042,26603
17073,49883,27402
17075,29053,25565
17077,59534,21147
17079,9635,25303
17081,38578,22975
17083,22625,25901
17085,22397,29362
17087,12829,20014
17089,524886,31056
17091,112221,24449
17093,120036,31053
17095,52112,22241
17097,702898,39299
17099,112579,25755
17101,16665,14468
17103,35027,25363
17105,37689,25769
17107,29956,21786
17109,32009,21664
17111,307357,33735
17113,173114,31305
17115,109193,26895
17117,46844,25962
17119,267356,28337
17121,38665,22808
17123,12173,27739
17125,14126,24173
17127,15016,22927
17129,12611,30578
17131,16107,26823
17133,33539,32889
17135,29348,19866
17137,35129,24586
17139,14927,25053
17141,52397,27451
17143,187112,28610
17145,21810,21720
17147,16495,32724
17149,16144,21594
17151,4331,21131
17153,5871,18923
17155,5822,29918
17157,33069,22895
17159,16127,23498
17161,147161,26391
17163,267029,26738
17165,24783,21175
17167,199016,31024
17169,7311,24077
17171,5198,24978
17173,22115,23697
17175,5859,27148
17177,46625,24253
17179,135697,29718
17181,17551,23140
17183,80368,22233
17185,11652,24155
17187,17701,22876
17189,14457,28683
17191,16555,23869
17193,14464,25534
17195,57525,25490
17197,683995,31310
17199,67121,24669
17201,290439,25198
17203,39106,30804
18001,34642,21274
18003,363453,25770
18005,79488,27987
18007,8752,22526
18009,12476,20534
18011,60511,38038
18013,15011,29903
18015,20014,25365
18017,38476,22125
18019,113181,25470
18021,26686,21856
18023,32835,22337
18025,10591,18835
18027,32411,21101
18029,49679,27907
18031,26240,23346
18033,42449,24016
18035,117335,21179
18037,42291,25972
18039,200685,21817
18041,23773,20508
18043,75900,28116
18045,16888,24619
18047,22935,24032
18049,20527,22807
18051,33668,24682
18053,68896,20440
18055,32815,22767
18057,296635,41316
18059,71328,29058
18061,39230,24460
18063,153435,30364
18065,49146,21286
18067,82765,24297
18069,36863,22606
18071,43471,22421
18073,33448,24614
18075,21255,19591
18077,32453,22139
18079,28113,21434
18081,145645,28889
18083,38062,21928
18085,77983,26011
18087,38084,20413
18089,491596,24756
18091,111280,23499
18093,45814,23404
18095,130280,22236
18097,926335,24330
18099,46962,22895
18101,10262,22939
18103,36211,21745
18105,142404,24266
18107,38172,22911
18109,69403,26175
18111,14057,23154
18113,47546,23477
18115,6033,23848
18117,19725,19660
18119,21192,21842
18121,17107,20592
18123,19414,20964
18125,12687,23169
18127,166570,29922
18129,25567,29821
18131,13047,22798
18133,37650,22983
18135,25596,23000
18137,28612,23534
18139,16991,23186
18141,267246,24395
18143,23783,21385
18145,44441,24645
18147,20856,24936
18149,23117,20899
18151,34267,24576
18153,21111,19715
18155,10500,19516
18157,180952,23529
18159,15573,25868
18161,7299,21487
18163,181305,24961
18165,15860,22022
18167,108268,21626
18169,32358,22674
18171,8367,27731
18173,60995,30507
18175,27930,20483
18177,67866,22093
18179,27796,24253
18181,24388,24944
18183,33330,26383
19001,7426,25990
19003,3892,26428
19005,14060,26077
19007,12669,23653
19009,5869,29882
19011,25803,29990
19013,132496,25382
19015,26401,26935
19017,24539,30504
19019,20998,29045
19021,20507,24511
19023,14966,26498
19025,9914,26524
19027,20629,27100
19029,13590,25868
19031,18375,27879
19033,43481,28270
19035,11853,27934
19037,12244,26981
19039,9280,22586
19041,16537,27138
19043,17806,26124
19045,48365,27255
19047,17252,23344
19049,74892,37669
19051,8742,23867
19053,8249,19493
19055,17507,27563
19057,40208,24614
19059,16967,34218
19061,95906,27096
19063,9917,27707
19065,20589,24513
19067,16050,25918
19069,10489,25417
19071,7106,29060
19073,9174,26918
19075,12407,31076
19077,10740,28946
19079,15297,26001
19081,11092,26846
19083,17393,26256
19085,14467,26910
19087,20080,23439
19089,9494,25804
19091,9674,27814
19093,7071,28398
19095,16344,29022
19097,19572,25546
19099,36726,26138
19101,17318,25209
19103,139436,31271
19105,20560,26937
19107,10291,23076
19109,15280,28952
19111,35369,22746
19113,216640,30829
19115,11271,26176
19117,8731,23512
19119,11723,26777
19121,15644,28922
19123,22396,25228
19125,33248,26280
19127,40962,24648
19129,14862,28280
19131,10762,25706
19133,9088,24730
19135,8002,25753
19137,10465,23445
19139,42913,25503
19141,14092,30600
19143,6211,25306
19145,15660,23617
19147,9208,26154
19149,24853,27991
19151,7127,26406
19153,452369,31291
19155,93213,27057
19157,18705,26018
19159,5061,26557
19161,10101,26991
19163,169994,29391
19165,11992,27695
19167,34509,26029
19169,93586,25589
19171,17479,26432
19173,6213,23821
19175,12575,24022
19177,7432,23268
19179,35315,22716
19181,47542,30086
19183,22017,27228
19185,6384,23009
19187,37295,23718
19189,10614,25021
19191,20884,26211
19193,102530,23630
19195,7563,24734
19197,12936,26316
20001,13081,20671
20003,7896,21226
20005,16633,21677
20007,4770,28174
20009,27399,24338
20011,14812,20783
20013,9880,22600
20015,66092,27647
20017,2722,23459
20019,3520,23584
20021,20952,19809
20023,2682,26626
20025,2145,25106
20027,8421,26807
20029,9339,22441
20031,8458,29382
20033,2010,23661
20035,36079,21950
20037,39304,20346
20039,2905,29891
20041,19516,24430
20043,7859,23471
20045,114967,27611
20047,2991,25584
20049,2683,21764
20051,28993,26098
20053,6410,24102
20055,37133,22145
20057,34714,20619
20059,25753,24567
20061,36787,21450
20063,2735,25484
20065,2593,28233
20067,7816,25195
20069,6065,26131
20071,1224,25994
20073,6393,23335
20075,2586,22250
20077,5861,24640
20079,34835,24453
20081,4130,24362
20083,1939,31547
20085,13400,25038
20087,18898,26227
20089,3038,23002
20091,566814,40331
20093,3952,23884
20095,7790,24998
20097,2536,24116
20099,21048,21006
20101,1674,31458
20103,78227,27138
20105,3154,24953
20107,9528,26519
20109,2793,28974
20111,33462,20943
20113,29252,28396
20115,12290,23642
20117,10005,26313
20119,4383,23446
20121,32688,29413
20123,6296,27555
20125,34184,20864
20127,5750,23928
20129,3106,22297
20131,10159,26041
20133,16423,22354
20135,3077,29968
20137,5590,23702
20139,16080,24243
20141,3782,27132
20143,6048,26260
20145,6911,24125
20147,5501,25072
20149,22625,25964
20151,9739,27078
20153,2545,27559
20155,64058,23578
20157,4806,25317
20159,10014,23687
20161,75022,23992
20163,5186,23891
20165,3184,24843
20167,6988,26128
20169,55735,25641
20171,4928,30179
20173,506529,26016
20175,23274,20442
20177,178792,26691
20179,2531,28733
20181,6054,21786
20183,3740,27315
20185,4320,25476
20187,2149,22690
20189,5772,24827
20191,23638,24214
20193,7925,26309
20195,2951,28817
20197,6997,23962
20199,1595,28265
20201,5686,23440
20203,2204,23367
20205,9061,22538
20207,3211,21432
20209,160806,18912
21001,18852,18277
21003,20355,20702
21005,21761,24353
21007,8256,24056
21009,42925,20262
21011,11978,18719
21013,27950,13701
21015,124617,29866
21017,20013,23620
21019,48917,25745
21021,29388,22368
21023,8425,21054
21025,13591,15737
21027,20061,19185
21029,76961,24458
21031,12835,18502
21033,12826,20840
21035,38106,20701
21037,91475,28248
21039,4984,21499
21041,10830,20129
21043,27326,18948
21045,15954,17526
21047,74159,19614
21049,35657,25492
21051,21300,13802
21053,10188,16712
21055,9222,21248
21057,6807,17571
21059,98173,23952
21061,12105,20304
21063,7725,15319
21065,14476,16446
21067,308306,30031
21069,14544,21453
21071,38649,18173
21073,49778,26778
21075,6422,18082
21077,8567,21634
21079,16976,22567
21081,24670,19667
21083,37502,20805
21085,26001,19902
21087,11149,19563
21089,36477,23649
21091,8669,22330
21093,107529,24845
21095,28400,15840
21097,18648,20490
21099,18441,18993
21101,46396,22628
21103,15455,21806
21105,4720,19597
21107,46518,22517
21109,13357,16405
21111,755809,28822
21113,50328,26230
21115,23350,18436
21117,163007,27847
21119,16000,17939
21121,31809,15599
21123,14149,20570
21125,59751,18795
21127,15821,18890
21129,7119,13688
21131,10997,15558
21133,23671,17194
21135,13790,16662
21137,24498,18564
21139,9394,23079
21141,26851,19126
21143,8402,24723
21145,65408,28577
21147,18001,10880
21149,9500,20910
21151,85838,21977
21153,12979,16046
